===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2018-10-30 18:24:03"
"count workspace","c:\Users\sroyer\Source\Repos\Etl.Net"
"total files","296"
"total code lines","14301"
"total comment lines","499"
"total blank lines","1273"


"filename","code","comment","blank"
"src\Paillave.Etl.EntityFrameworkCore\Extensions\EntityFrameworkCore.StreamEx.cs","57","0","1"
"src\Paillave.Etl.EntityFrameworkCore\StreamNodes\ThroughEntityFrameworkCoreStreamNode.cs","67","1","2"
"src\Paillave.Etl.ExcelFile\Core\ExcelFileDefinition.cs","231","1","4"
"src\Paillave.Etl.ExcelFile\Core\ExcelFileFieldDefinition.cs","12","0","1"
"src\Paillave.Etl.ExcelFile\Core\ExcelFilePropertySetter.cs","53","4","5"
"src\Paillave.Etl.ExcelFile\Core\ExcelFileReader.cs","21","0","2"
"src\Paillave.Etl.ExcelFile\Core\LambdaExpression.ex.cs","19","0","1"
"src\Paillave.Etl.ExcelFile\Extensions\ExcelFile.StreamEx.cs","108","27","4"
"src\Paillave.Etl.ExcelFile\StreamNodes\ThroughExcelFileStreamNode.cs","72","2","4"
"src\Paillave.Etl.ExcelFile\StreamNodes\ToExcelFileStreamNode.cs","68","0","5"
"src\Paillave.Etl.ExcelFile\ValuesProviders\ExcelRowsValuesProvider.cs","63","0","1"
"src\Paillave.Etl.ExcelFile\ValuesProviders\ExcelSheetsValuesProvider.cs","36","0","1"
"src\Paillave.Etl.ExecutionPlan\D3SankeyDescription.cs","23","0","3"
"src\Paillave.Etl.ExecutionPlan\Extensions\ActualExecutionPlan.D3Sankey.cs","65","0","4"
"src\Paillave.Etl.ExecutionPlan\Extensions\ActualExecutionPlan.PlotySankey.cs","63","4","4"
"src\Paillave.Etl.ExecutionPlan\Extensions\ActualExecutionPlan.VisNetwork.cs","91","5","4"
"src\Paillave.Etl.ExecutionPlan\Extensions\EstimatedExecutionPlan.D3Sankey.cs","56","0","4"
"src\Paillave.Etl.ExecutionPlan\Extensions\EstimatedExecutionPlan.PlotySankey.cs","55","4","4"
"src\Paillave.Etl.ExecutionPlan\Extensions\EstimatedExecutionPlan.VisNetwork.cs","77","4","4"
"src\Paillave.Etl.ExecutionPlan\PlotlySankeyDescription.cs","15","0","1"
"src\Paillave.Etl.ExecutionPlan\Tools.cs","20","0","1"
"src\Paillave.Etl.ExecutionPlan\VisNetworkDescription.cs","45","0","5"
"src\Paillave.Etl.Ftp\Extensions\Ftp.StreamEx.cs","50","0","2"
"src\Paillave.Etl.Ftp\FtpConnectionInfo.cs","11","0","1"
"src\Paillave.Etl.Ftp\FtpUploadException.cs","13","0","2"
"src\Paillave.Etl.Ftp\StreamNodes\ToFtpFileStreamNode.cs","56","0","7"
"src\Paillave.Etl.Ftp\ValuesProviders\FtpFilesValuesProvider.cs","66","0","11"
"src\Paillave.Etl.SqlServer\Extensions\SqlServer.StreamEx.cs","29","0","1"
"src\Paillave.Etl.SqlServer\StreamNodes\ThroughSqlCommandStreamNode.cs","53","0","2"
"src\Paillave.Etl.SqlServer\ValuesProviders\SqlCommandValueProvider.cs","44","0","3"
"src\Paillave.Etl.TextFile\ColumnDelimitedAttribute.cs","15","0","2"
"src\Paillave.Etl.TextFile\Core\ColumnSeparatorLineSplitter.cs","31","0","2"
"src\Paillave.Etl.TextFile\Core\FixedColumnWidthLineSplitter.cs","32","0","5"
"src\Paillave.Etl.TextFile\Core\FlatFileDefinition.cs","211","0","2"
"src\Paillave.Etl.TextFile\Core\FlatFileFieldDefinition.cs","12","0","1"
"src\Paillave.Etl.TextFile\Core\FlatFilePropertySerializer.cs","31","4","4"
"src\Paillave.Etl.TextFile\Core\ILineSplitter.cs","9","0","1"
"src\Paillave.Etl.TextFile\Core\LambdaExpression.ex.cs","19","0","1"
"src\Paillave.Etl.TextFile\Core\LineSerializer.cs","30","0","3"
"src\Paillave.Etl.TextFile\Extensions\TextFile.StreamEx.cs","147","0","4"
"src\Paillave.Etl.TextFile\FixedColumnWidthAttribute.cs","8","0","2"
"src\Paillave.Etl.TextFile\SkipLinesAttribute.cs","13","0","2"
"src\Paillave.Etl.TextFile\StreamNodes\ThroughFlatFileStreamNode.cs","51","0","4"
"src\Paillave.Etl.TextFile\StreamNodes\ToFlatFileStreamNode.cs","44","0","3"
"src\Paillave.Etl.TextFile\TextFileColumnAttribute.cs","12","0","1"
"src\Paillave.Etl.TextFile\ValuesProviders\FlatFileValuesProvider.cs","58","0","4"
"src\Paillave.Etl.TextFile\ValuesProviders\TextFileValuesProvider.cs","20","0","1"
