FUND CODE,FUND NAME,ISIN CODE,CURRENCY,NAV DATE,NAV PER SHARE,PREVIOUS NAV,TOTAL NET ASSET,FUND TOTAL NET ASSET,TIS,TOTAL TIS AMOUNT,AMOUNT REDEMPTION,AMOUNT SUBSCRIPTION,QUANTITY REDEMPTION,QUANTITY SUBSCRIPTION
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151027,99.99,99.980000,24158451.77,24158451.77,.081653,19727.37,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151026,99.98,99.960000,24155849.46,24155849.46,.074758,18061.44,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151023,99.96,99.940000,24150664.99,24150664.99,.058424,14115.14,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151022,99.94,99.950000,24145781.99,24145781.99,.05257,12701.01,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151021,99.95,99.950000,24147698.87,24147698.87,.046774,11300.55,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151020,99.95,99.950000,24146845.25,24146845.25,.040872,9874.78,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151019,99.95,99.940000,24146917.3,24146917.3,.033624,8123.45,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151127,101.16,101.120000,44590888.07,44590888.07,.785401,346191.39,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151126,101.12,101.130000,44571584.14,44571584.14,.775409,341787.21,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151125,101.13,101.230000,44576489.79,44576489.79,.744225,328041.53,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151124,101.23,101.260000,44620596.26,44620596.26,.748101,329750,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151123,101.26,101.230000,44634212.92,44634212.92,.702772,309769.78,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151120,101.23,101.190000,44619054.08,44619054.08,.665969,293547.64,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151119,101.19,101.140000,44604321.47,44604321.47,.712652,314124.75,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151118,101.14,100.990000,44580711.72,44580711.72,.70069,308852.35,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151117,100.99,101.010000,44515139.05,44515139.05,.649881,286456.66,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151116,101.01,101.080000,44523324.67,44523324.67,.614267,270758.41,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151113,101.08,101.170000,44553792.78,44553792.78,.589929,260030.59,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151112,101.17,101.150000,44595335.85,44595335.85,.615395,271255.84,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151111,101.15,101.160000,44584807.87,44584807.87,.608329,268141.23,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151110,101.16,101.240000,44589860.49,44589860.49,.571667,251981.1,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151109,101.24,101.280000,44625108.09,44625108.09,.573258,252682.21,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151106,101.28,101.290000,44644425.36,44644425.36,.50982,224719.8,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151105,101.29,101.200000,44644870.26,44644870.26,.508167,223991.41,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151104,101.2,101.000000,44607871.43,44607871.43,.476857,210190.43,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151103,101,100.910000,44520822.58,44520822.58,.418227,184347.44,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151102,100.91,100.890000,44481102.56,44481102.56,.404427,178264.57,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151030,100.89,100.860000,44472064.73,44472064.73,.437151,192688.67,0,200000.03,0,1982.947
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151029,100.86,100.740000,44257751.19,44257751.19,.372832,163598.54,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151028,100.74,100.810000,44204206.12,44204206.12,.357177,156729.06,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151027,100.81,100.710000,44233897.13,44233897.13,.353748,155224.73,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151026,100.71,100.390000,44189978.18,44189978.18,.352763,154792.31,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151023,100.39,100.200000,44051473.4,44051473.4,.273316,119931.15,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151022,100.2,100.230000,43967352.72,43967352.72,.180407,79162.81,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151021,100.23,100.230000,43982762.87,43982762.87,.194148,85192.25,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151020,100.23,100.110000,43981564.88,43981564.88,.118192,51862.66,,,,
LU1735,SHELTER INVEST - LOW VOLATILITY,LU1248420264,EUR,20151019,100.11,99.980000,43926888.46,43926888.46,.050578,22193.5,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151016,99.94,99.940000,24145914.47,24145914.47,.016759,4048.9,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151015,99.94,99.930000,24144576.57,24144576.57,.010832,2617.09,,,,
LU1736,SHELTER INVEST - SHORT TERM INCOME,LU1248420421,EUR,20151014,99.93,99.940000,24144107.52,24144107.52,.005371,1297.55,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1224679883,EUR,20151210,100.76,101.150000,3545670.14,3837578.89,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1248419928,EUR,20151210,97.3,97.680000,291908.75,3837578.89,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1224679883,EUR,20151209,101.15,101.420000,3559231.39,3852263.3,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1248419928,EUR,20151209,97.68,97.940000,293031.91,3852263.3,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1224679883,EUR,20151208,101.42,103.130000,3568864.33,3862695.72,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1248419928,EUR,20151208,97.94,99.590000,293831.39,3862695.72,0,0,,,,
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,LU1224679883,EUR,20151207,103.13,102.590000,3628763.69,3927533.79,0,0,,,,
