FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,120145  00,,,Amort. Formation expenses,EUR,0.00,-124.19,-124.19,24158451.77,            -0.00,-0.000514,,99991231,100.000000,-0.000514064,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,267100  00,,,Subscription tax,EUR,0.00,-181.17,-181.17,24158451.77,            -0.00,-0.000750,,99991231,100.000000,-0.000749924,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-232.94,-232.94,24158451.77,            -0.00,-0.000964,,99991231,100.000000,-0.000964217,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,264293  00,,,Managment Fee I,EUR,0.00,-1979.28,-1979.28,24158451.77,            -0.01,-0.008193,,99991231,100.000000,-0.008192909,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,264135  00,,,Transfer Agency Fee,EUR,0.00,-86.08,-86.08,24158451.77,            -0.00,-0.000356,,99991231,100.000000,-0.000356314,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,264528  00,,,Financial Statements,EUR,0.00,-531.65,-531.65,24158451.77,            -0.00,-0.002201,,99991231,100.000000,-0.002200679,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,264875  00,,,Risk Management Fee,EUR,0.00,-98.99,-98.99,24158451.77,            -0.00,-0.000410,,99991231,100.000000,-0.000409753,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,268203  00,,,Marketing Expenses,EUR,0.00,-98.99,-98.99,24158451.77,            -0.00,-0.000410,,99991231,100.000000,-0.000409753,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,268100  00,,,Directors Fees,EUR,0.00,-97.35,-97.35,24158451.77,            -0.00,-0.000403,,99991231,100.000000,-0.000402965,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,268120  00,,,Audit Fees,EUR,0.00,-1417.72,-1417.72,24158451.77,            -0.01,-0.005868,,99991231,100.000000,-0.005868422,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1493396.60,1493396.60,24158451.77,             6.18,6.181673,,99991231,100.000000,6.181673454,99991231,             0.00,0.00,,,,,450 CASH
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151027,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-148.39,-148.39,24158451.77,            -0.00,-0.000614,,99991231,100.000000,-0.000614236,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-216.36,-216.36,24155849.46,            -0.00,-0.000896,,99991231,100.000000,-0.000895684,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,120145  00,,,Amort. Formation expenses,EUR,0.00,-115.52,-115.52,24155849.46,            -0.00,-0.000478,,99991231,100.000000,-0.000478228,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,267100  00,,,Subscription tax,EUR,0.00,-174.42,-174.42,24155849.46,            -0.00,-0.000722,,99991231,100.000000,-0.000722061,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,264293  00,,,Managment Fee I,EUR,0.00,-1847.28,-1847.28,24155849.46,            -0.01,-0.007647,,99991231,100.000000,-0.007647340,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,264135  00,,,Transfer Agency Fee,EUR,0.00,-80.34,-80.34,24155849.46,            -0.00,-0.000333,,99991231,100.000000,-0.000332590,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,264528  00,,,Financial Statements,EUR,0.00,-493.67,-493.67,24155849.46,            -0.00,-0.002044,,99991231,100.000000,-0.002043687,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,264875  00,,,Risk Management Fee,EUR,0.00,-92.39,-92.39,24155849.46,            -0.00,-0.000382,,99991231,100.000000,-0.000382475,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,268203  00,,,Marketing Expenses,EUR,0.00,-92.39,-92.39,24155849.46,            -0.00,-0.000382,,99991231,100.000000,-0.000382475,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,268100  00,,,Directors Fees,EUR,0.00,-90.42,-90.42,24155849.46,            -0.00,-0.000374,,99991231,100.000000,-0.000374319,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,268120  00,,,Audit Fees,EUR,0.00,-1316.46,-1316.46,24155849.46,            -0.01,-0.005450,,99991231,100.000000,-0.005449860,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1493396.60,1493396.60,24155849.46,             6.18,6.182339,,99991231,100.000000,6.182339406,99991231,             0.00,0.00,,,,,450 CASH
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151026,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-140.10,-140.10,24155849.46,            -0.00,-0.000580,,99991231,100.000000,-0.000579984,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264176  00,,,Performance Fee,EUR,0.00,-40925.09,-40925.09,44523324.67,            -0.09,-0.091918,,99991231,100.000000,-0.091918315,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264874  00,,,Risk Management Fee,EUR,0.00,-216.60,-216.60,44523324.67,            -0.00,-0.000486,,99991231,100.000000,-0.000486487,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,120145  00,,,Amort. Formation expenses,EUR,0.00,-547.87,-547.87,44523324.67,            -0.00,-0.001231,,99991231,100.000000,-0.001230524,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264175  00,,,Performance Fee,EUR,0.00,-649.24,-649.24,44523324.67,            -0.00,-0.001458,,99991231,100.000000,-0.001458202,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264136  00,,,Transfer Agency Fee,EUR,0.00,-103.30,-103.30,44523324.67,            -0.00,-0.000232,,99991231,100.000000,-0.000232013,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264156  00,,,Domiciliary Agency Fee,EUR,0.00,-505.05,-505.05,44523324.67,            -0.00,-0.001134,,99991231,100.000000,-0.001134349,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,266100  00,,,Payable on Purchases,EUR,0.00,-3779769.99,-3779769.99,44523324.67,            -8.49,-8.489415,,99991231,100.000000,-8.489415420,99991231,             0.00,0.00,,,,,800 PAYABLES
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-446.95,-446.95,44523324.67,            -0.00,-0.001004,,99991231,100.000000,-0.001003856,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264293  00,,,Managment Fee I,EUR,0.00,-12665.92,-12665.92,44523324.67,            -0.03,-0.028448,,99991231,100.000000,-0.028447831,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264135  00,,,Transfer Agency Fee,EUR,0.00,-91.81,-91.81,44523324.67,            -0.00,-0.000206,,99991231,100.000000,-0.000206207,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,264528  00,,,Financial Statements,EUR,0.00,-1291.14,-1291.14,44523324.67,            -0.00,-0.002900,,99991231,100.000000,-0.002899918,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,10127953.43,10127953.43,44523324.67,            22.75,22.747523,,99991231,100.000000,22.747522799,99991231,             0.00,0.00,,,,,450 CASH
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-755.83,-755.83,44523324.67,            -0.00,-0.001698,,99991231,100.000000,-0.001697605,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1735,SHELTER INVEST - LOW VOLATILITY,USD,20151116,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-0.06,-0.06,44523324.67,            -0.00,-0.000000,,99991231,100.000000,-0.000000135,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,268204  00,,,Marketing Expenses,EUR,0.00,-216.60,-216.60,44523324.67,            -0.00,-0.000486,,99991231,100.000000,-0.000486487,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,267100  00,,,Subscription tax,EUR,0.00,-569.30,-569.30,44523324.67,            -0.00,-0.001279,,99991231,100.000000,-0.001278656,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,268203  00,,,Marketing Expenses,EUR,0.00,-194.84,-194.84,44523324.67,            -0.00,-0.000438,,99991231,100.000000,-0.000437613,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,268100  00,,,Directors Fees,EUR,0.00,-429.53,-429.53,44523324.67,            -0.00,-0.000965,,99991231,100.000000,-0.000964730,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151116,268120  00,,,Audit Fees,EUR,0.00,-3443.04,-3443.04,44523324.67,            -0.01,-0.007733,,99991231,100.000000,-0.007733115,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,264135  00,,,Transfer Agency Fee,EUR,0.00,-57.39,-57.39,3117429.11,            -0.00,-0.001841,,99991231,100.000000,-0.001840940,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,120145  00,,,Amort. Formation expenses,EUR,0.00,-11.36,-11.36,3117429.11,            -0.00,-0.000364,,99991231,100.000000,-0.000364403,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,267100  00,,,Subscription tax,EUR,0.00,-19.69,-19.69,3117429.11,            -0.00,-0.000632,,99991231,100.000000,-0.000631610,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-44.79,-44.79,3117429.11,            -0.00,-0.001437,,99991231,100.000000,-0.001436761,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,264293  00,,,Managment Fee I,EUR,0.00,-663.82,-663.82,3117429.11,            -0.02,-0.021294,,99991231,100.000000,-0.021293828,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,264528  00,,,Financial Statements,EUR,0.00,-379.75,-379.75,3117429.11,            -0.01,-0.012182,,99991231,100.000000,-0.012181512,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,264875  00,,,Risk Management Fee,EUR,0.00,-8.30,-8.30,3117429.11,            -0.00,-0.000266,,99991231,100.000000,-0.000266245,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,268203  00,,,Marketing Expenses,EUR,0.00,-8.30,-8.30,3117429.11,            -0.00,-0.000266,,99991231,100.000000,-0.000266245,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,268100  00,,,Directors Fees,EUR,0.00,-8.75,-8.75,3117429.11,            -0.00,-0.000281,,99991231,100.000000,-0.000280680,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,268120  00,,,Audit Fees,EUR,0.00,-1012.66,-1012.66,3117429.11,            -0.03,-0.032484,,99991231,100.000000,-0.032483818,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,98362.09,98362.09,3117429.11,             3.16,3.155231,,99991231,100.000000,3.155231010,99991231,             0.00,0.00,,,,,450 CASH
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,GBP,20151023,151200  00,,,Income on Shares Port.,EUR,0.00,873.36,627.71,3117429.11,             0.03,0.028015,,99991231,100.000000,0.028015392,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,20151023,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-15.58,-15.58,3117429.11,            -0.00,-0.000500,,99991231,100.000000,-0.000499771,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,SEK,20151023,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-2.15,-20.17,3117429.11,            -0.00,-0.000069,,99991231,100.000000,-0.000068967,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,264293  00,,,Managment Fee I,EUR,0.00,-1451.37,-1451.37,24150664.99,            -0.01,-0.006010,,99991231,100.000000,-0.006009648,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,120145  00,,,Amort. Formation expenses,EUR,0.00,-89.00,-89.00,24150664.99,            -0.00,-0.000369,,99991231,100.000000,-0.000368520,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-166.53,-166.53,24150664.99,            -0.00,-0.000690,,99991231,100.000000,-0.000689546,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,267100  00,,,Subscription tax,EUR,0.00,-154.26,-154.26,24150664.99,            -0.00,-0.000639,,99991231,100.000000,-0.000638740,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,264135  00,,,Transfer Agency Fee,EUR,0.00,-63.13,-63.13,24150664.99,            -0.00,-0.000261,,99991231,100.000000,-0.000261401,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,264528  00,,,Financial Statements,EUR,0.00,-379.75,-379.75,24150664.99,            -0.00,-0.001572,,99991231,100.000000,-0.001572420,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,264875  00,,,Risk Management Fee,EUR,0.00,-72.59,-72.59,24150664.99,            -0.00,-0.000301,,99991231,100.000000,-0.000300571,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,268203  00,,,Marketing Expenses,EUR,0.00,-72.59,-72.59,24150664.99,            -0.00,-0.000301,,99991231,100.000000,-0.000300571,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,268100  00,,,Directors Fees,EUR,0.00,-69.60,-69.60,24150664.99,            -0.00,-0.000288,,99991231,100.000000,-0.000288191,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,268120  00,,,Audit Fees,EUR,0.00,-1012.66,-1012.66,24150664.99,            -0.00,-0.004193,,99991231,100.000000,-0.004193094,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1493396.60,1493396.60,24150664.99,             6.18,6.183667,,99991231,100.000000,6.183666581,99991231,             0.00,0.00,,,,,450 CASH
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151023,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-131.80,-131.80,24150664.99,            -0.00,-0.000546,,99991231,100.000000,-0.000545741,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151023,264293  00,,,Managment Fee I,EUR,0.00,-7794.04,-7794.04,44051473.40,            -0.02,-0.017693,,99991231,100.000000,-0.017693029,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151023,264176  00,,,Performance Fee,EUR,0.00,-16847.82,-16847.82,44051473.40,            -0.04,-0.038246,,99991231,100.000000,-0.038245758,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1735,SHELTER INVEST - LOW VOLATILITY,EUR,20151023,120145  00,,,Amort. Formation expenses,EUR,0.00,-162.06,-162.06,44051473.40,            -0.00,-0.000368,,99991231,100.000000,-0.000367888,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
