Consolidated Code,Fund Code,Fund Name,Fund Ccy,CnPtf Manager,Operation Type,Deal Description,N Entry Ptf,N Entry,Security Mvt Status Code,CNId,Wkn Code,ISIN Code,Sec Name,GTI Code,Investment Ccy,Maturity Date,Contract Number,Trade Date,Value Date,Nav Date,Quantity,Price Local Ccy,Price Ptf Ccy,Fees Local Ccy,Purch Amount local Ccy Gross,Interests Purchased Local Ccy,Purch Amount Local Ccy Net,Purch Amount Fund Currency net,Sales Amount local Currency gross,Interest Sold Local Ccy,Sales Amount Local Ccy Net,Sales Amount Fund Ccy net,Total Gain or Loss,Security Accounting Entry Number,v_Xchge_Rate
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 1.823.00 164.3 TELENOR AS LU1715,141,1,30,52223000000,591260,NO0010063308,TELENOR AS,100,NOK,99991231,-1,20151013,20151015,20151014,-1823.000000,164.300000,17.770000,,-299518.90,0.00,-299518.90,-32388.12,0.00,0.00,0.00,0.00,0.00,1,0.10781
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 1.823.00 164.3 TELENOR AS LU1715,2,1,30,52223000000,591260,NO0010063308,TELENOR AS,100,NOK,99991231,-1,20151013,20151015,20151014,1823.000000,164.300000,17.770000,,299518.90,0.00,299518.90,32388.12,0.00,0.00,0.00,0.00,0.00,1,0.10781
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 6.255.00 65.7 ORKLA AS  A  LU1715,142,2,30,599441000000,864042,NO0003733800,ORKLA AS  A,100,NOK,99991231,-1,20151013,20151015,20151014,-6255.000000,65.700000,7.100000,,-410953.50,0.00,-410953.50,-44437.97,0.00,0.00,0.00,0.00,0.00,2,0.10781
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 6.255.00 65.7 ORKLA AS  A  LU1715,3,2,30,599441000000,864042,NO0003733800,ORKLA AS  A,100,NOK,99991231,-1,20151013,20151015,20151014,6255.000000,65.700000,7.100000,,410953.50,0.00,410953.50,44437.97,0.00,0.00,0.00,0.00,0.00,2,0.10781
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 9.275.00 3.534 KINGFISHER PLC LU1715,4,3,20,102417000000,812861,GB0033195214,KINGFISHER PLC,100,GBP,99991231,-1,20151012,20151014,20151014,9275.000000,3.534000,4.770000,,32777.85,0.00,32777.85,44221.65,0.00,0.00,0.00,0.00,0.00,3,1.34973
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 24.513.00 1.454 RENTOKIL INITIAL PLC LU1715,5,4,20,162380000000,A0EQ3A,GB00B082RF11,RENTOKIL INITIAL PLC,100,GBP,99991231,-1,20151012,20151014,20151014,24513.000000,1.454000,1.960000,,35641.90,0.00,35641.90,48085.63,0.00,0.00,0.00,0.00,0.00,4,1.34973
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 6.678.00 9.081 NATIONAL GRID PLC LU1715,6,5,20,162431000000,A0ETYW,GB00B08SNH34,NATIONAL GRID PLC,100,GBP,99991231,-1,20151012,20151014,20151014,6678.000000,9.081000,12.250000,,60642.92,0.00,60642.92,81815.30,0.00,0.00,0.00,0.00,0.00,5,1.34973
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 3.121.00 10.71 COMPASS GROUP PLC LU1715,7,6,20,851509000000,A115LA,GB00BLNN3L44,COMPASS GROUP PLC,100,GBP,99991231,-1,20151012,20151014,20151014,3121.000000,10.710000,14.450000,,33425.91,0.00,33425.91,45095.96,0.00,0.00,0.00,0.00,0.00,6,1.34973
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 3.062.00 10.71 BRITISH SKY BROADCASTING GROUP LU1715,8,7,20,325444000000,893517,GB0001411924,BRITISH SKY BROADCASTING GROUP,100,GBP,99991231,-1,20151012,20151014,20151014,3062.000000,10.710000,14.450000,,32794.02,0.00,32794.02,44243.46,0.00,0.00,0.00,0.00,0.00,7,1.34973
LU170C,LU1715,SHELTER INVEST - EUROPE FACTOR  FUND,EUR,0,PURCH,Purchase on stock market 9.427.00 5.1011 TELEKOM AUSTRIA AG LU1715,143,8,30,50809000000,588811,AT0000720008,TELEKOM AUSTRIA AG,100,EUR,99991231,-1,20151012,20151014,20151014,-9427.000000,5.101100,5.101100,,-48088.07,0.00,-48088.07,-48088.07,0.00,0.00,0.00,0.00,0.00,8,1.00000
